condition,speed_cm_s,trial,seed,tau,success,lift_mm,mean_tracking_error_pre_contact_mm,mean_tracking_error_after_warmup_mm,contact_tracking_error_mm,max_tracking_error_mm,object_estimation_error_xy_mm,object_estimation_error_theta_deg,target_to_desired_demo_frame_error_xy_mm,target_to_object_contact_offset_error_mm,ee_to_target_error_xy_mm,ee_to_target_error_3d_mm,mean_ee_to_target_error_pre_contact_mm,mean_ee_to_target_error_contact_window_mm,max_ee_to_target_error_mm,contact_window_ee_to_object_xy_mm,contact_window_ee_to_target_xy_mm,contact_window_target_to_object_xy_mm,gripper_close_sim_t,gripper_close_t_demo,contact_position_error_mm,orientation_error_deg,approach_error_mm,progress_pct,main_failure,n_attempts,runtime_s
static_replay,2.000,1,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.016,1.004,9.234,1.004,0.062,21.500,150.037,0.062,150.020,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.905
static_replay,2.000,2,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.017,1.004,9.234,1.004,0.062,21.500,150.039,0.062,150.021,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.827
static_replay,2.000,3,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.019,1.004,9.234,1.004,0.062,21.500,150.042,0.062,150.023,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.820
static_replay,2.000,4,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.020,1.004,9.234,1.004,0.062,21.500,150.045,0.062,150.024,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.835
static_replay,2.000,5,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.021,1.004,9.234,1.004,0.062,21.500,150.047,0.062,150.025,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.867
static_replay,2.000,6,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.022,1.004,9.234,1.004,0.062,21.500,150.050,0.062,150.026,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.882
static_replay,2.000,7,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.023,1.004,9.234,1.004,0.062,21.500,150.052,0.062,150.028,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.875
static_replay,2.000,8,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.025,1.004,9.234,1.004,0.062,21.500,150.055,0.062,150.029,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.864
static_replay,2.000,9,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.026,1.004,9.234,1.004,0.062,21.500,150.057,0.062,150.030,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.864
static_replay,2.000,10,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.027,1.004,9.234,1.004,0.062,21.500,150.060,0.062,150.031,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.889
static_replay,4.000,1,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.036,1.004,9.234,1.004,0.062,21.500,150.085,0.062,150.044,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.993
static_replay,4.000,2,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.038,1.004,9.234,1.004,0.062,21.500,150.088,0.062,150.045,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.884
static_replay,4.000,3,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.039,1.004,9.234,1.004,0.062,21.500,150.091,0.062,150.047,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.915
static_replay,4.000,4,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.041,1.004,9.234,1.004,0.062,21.500,150.094,0.062,150.048,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.880
static_replay,4.000,5,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.042,1.004,9.234,1.004,0.062,21.500,150.096,0.062,150.049,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.879
static_replay,4.000,6,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.043,1.004,9.234,1.004,0.062,21.500,150.098,0.062,150.050,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.888
static_replay,4.000,7,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.044,1.004,9.234,1.004,0.062,21.500,150.100,0.062,150.051,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.872
static_replay,4.000,8,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.045,1.004,9.234,1.004,0.062,21.500,150.102,0.062,150.052,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.896
static_replay,4.000,9,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.046,1.004,9.234,1.004,0.062,21.500,150.104,0.062,150.053,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.884
static_replay,4.000,10,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.047,1.004,9.234,1.004,0.062,21.500,150.105,0.062,150.053,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.884
static_replay,6.000,1,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.039,1.004,9.234,1.004,0.062,21.500,150.088,0.062,150.044,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.894
static_replay,6.000,2,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.040,1.004,9.234,1.004,0.062,21.500,150.088,0.062,150.044,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.903
static_replay,6.000,3,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.040,1.004,9.234,1.004,0.062,21.500,150.088,0.062,150.044,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.866
static_replay,6.000,4,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.040,1.004,9.234,1.004,0.062,21.500,150.088,0.062,150.044,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.884
static_replay,6.000,5,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.041,1.004,9.234,1.004,0.062,21.500,150.088,0.062,150.044,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.874
static_replay,6.000,6,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.041,1.004,9.234,1.004,0.062,21.500,150.089,0.062,150.044,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.886
static_replay,6.000,7,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.042,1.004,9.234,1.004,0.062,21.500,150.090,0.062,150.045,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.909
static_replay,6.000,8,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.042,1.004,9.234,1.004,0.062,21.500,150.092,0.062,150.046,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.912
static_replay,6.000,9,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.042,1.004,9.234,1.004,0.062,21.500,150.094,0.062,150.047,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.910
static_replay,6.000,10,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.043,1.004,9.234,1.004,0.062,21.500,150.096,0.062,150.048,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.891
static_replay,8.000,1,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.038,1.004,9.234,1.004,0.062,21.500,150.098,0.062,150.049,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,3.038
static_replay,8.000,2,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.039,1.004,9.234,1.004,0.062,21.500,150.100,0.062,150.050,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,3.194
static_replay,8.000,3,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.041,1.004,9.234,1.004,0.062,21.500,150.102,0.062,150.051,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.921
static_replay,8.000,4,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.042,1.004,9.234,1.004,0.062,21.500,150.103,0.062,150.052,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.880
static_replay,8.000,5,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.043,1.004,9.234,1.004,0.062,21.500,150.104,0.062,150.052,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.909
static_replay,8.000,6,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.044,1.004,9.234,1.004,0.062,21.500,150.103,0.062,150.052,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.903
static_replay,8.000,7,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.045,1.004,9.234,1.004,0.062,21.500,150.102,0.062,150.051,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.890
static_replay,8.000,8,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.046,1.004,9.234,1.004,0.062,21.500,150.101,0.062,150.051,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.878
static_replay,8.000,9,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.046,1.004,9.234,1.004,0.062,21.500,150.100,0.062,150.051,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.882
static_replay,8.000,10,42,nan,0,-0.010,nan,nan,nan,nan,nan,nan,150.000,150.047,1.004,9.234,1.004,0.062,21.500,150.100,0.062,150.051,2.500,2.500,inf,inf,inf,100.000,attempt_limit,3,2.910
dynamic_tau0,2.000,1,42,0.000,1,113.286,58.425,57.599,30.786,260.123,58.425,nan,59.201,59.181,15.027,23.261,15.027,0.920,231.031,27.367,0.920,27.943,3.500,2.525,0.900,4.927,0.932,96.100,none,1,9.399
dynamic_tau0,2.000,2,42,0.000,1,116.805,50.760,48.105,22.363,264.870,50.760,nan,51.646,51.625,14.003,21.366,14.003,0.972,232.937,18.757,0.972,19.400,3.267,2.505,0.954,5.509,0.986,96.954,none,1,9.217
dynamic_tau0,2.000,3,42,0.000,1,269.740,52.339,50.761,31.319,265.084,52.339,nan,53.211,53.183,13.867,20.995,13.867,1.256,232.936,26.017,1.256,27.102,3.267,2.519,1.232,4.442,1.270,89.221,none,1,9.293
dynamic_tau0,2.000,4,42,0.000,1,115.795,71.229,78.587,40.750,269.163,71.229,nan,71.952,71.932,15.483,24.703,15.483,11.088,234.159,76.107,11.088,73.972,3.167,2.511,1.308,3.872,1.336,97.378,none,1,9.285
dynamic_tau0,2.000,5,42,0.000,1,142.888,67.748,74.845,38.736,269.383,67.748,nan,68.510,68.490,15.304,24.199,15.304,10.575,234.158,70.354,10.575,68.582,3.133,2.505,1.318,3.750,1.334,97.487,none,1,9.377
dynamic_tau0,2.000,6,42,0.000,0,-0.010,67.239,69.789,nan,275.596,67.239,nan,67.318,67.314,9.269,19.252,9.269,3.436,237.053,71.840,3.436,73.318,2.867,2.518,inf,inf,inf,86.574,attempt_limit,3,3.404
dynamic_tau0,2.000,7,42,0.000,1,124.029,73.618,83.487,39.338,276.072,73.618,nan,74.319,74.297,15.812,25.820,15.812,11.735,236.468,86.355,11.735,83.883,3.167,2.511,1.342,3.439,2.105,97.378,none,1,9.492
dynamic_tau0,2.000,8,42,0.000,0,-0.010,72.142,75.473,nan,278.984,72.142,nan,72.443,72.434,9.331,20.288,9.331,3.199,237.562,61.088,3.199,62.492,2.867,2.509,inf,inf,inf,86.831,attempt_limit,3,3.449
dynamic_tau0,2.000,9,42,0.000,0,-0.010,73.691,77.642,nan,279.792,73.691,nan,73.956,73.943,9.272,21.052,9.272,1.927,237.077,62.732,1.927,64.480,2.867,2.512,inf,inf,inf,88.615,attempt_limit,3,3.327
dynamic_tau0,2.000,10,42,0.000,0,-0.010,55.014,57.876,nan,195.415,55.014,nan,55.120,55.103,7.658,16.751,7.658,3.564,195.421,57.660,3.564,60.399,2.867,2.502,inf,inf,inf,85.172,attempt_limit,3,3.484
dynamic_tau0,4.000,1,42,0.000,1,253.785,66.580,69.419,43.203,261.053,66.580,nan,66.717,66.691,11.224,22.423,11.224,2.836,230.866,56.110,2.836,58.764,3.067,2.522,2.397,8.403,2.420,62.695,none,2,9.272
dynamic_tau0,4.000,2,42,0.000,1,110.990,66.398,68.618,10.575,266.026,66.398,nan,66.477,66.460,10.635,23.844,10.635,2.714,232.808,50.640,2.714,50.850,3.033,2.527,1.938,13.796,1.943,94.780,none,3,9.612
dynamic_tau0,4.000,3,42,0.000,1,108.792,57.662,59.282,16.000,275.723,57.662,nan,57.747,57.732,10.238,22.269,10.238,3.018,237.509,51.339,3.018,52.899,3.033,2.510,2.348,16.231,2.241,94.789,none,3,9.311
dynamic_tau0,4.000,4,42,0.000,1,109.822,52.821,54.496,18.956,278.857,52.821,nan,53.133,53.102,9.958,20.418,9.958,10.095,237.736,52.940,10.095,51.513,2.933,2.510,2.297,15.527,2.204,94.936,none,3,9.705
dynamic_tau0,4.000,5,42,0.000,1,110.966,47.383,49.152,19.610,200.563,47.383,nan,47.671,47.651,8.659,19.074,8.659,8.788,200.832,48.602,8.788,47.478,3.000,2.528,2.406,15.418,2.322,94.784,none,3,9.435
dynamic_tau0,4.000,6,42,0.000,1,334.413,29.399,28.133,23.625,197.000,29.399,nan,30.526,30.533,9.765,15.367,9.765,3.845,194.910,27.651,3.845,26.292,3.100,2.506,2.211,2.503,2.262,46.243,none,1,9.240
dynamic_tau0,4.000,7,42,0.000,1,323.659,26.807,24.628,14.159,199.657,26.807,nan,27.947,27.956,9.815,15.327,9.815,3.825,195.807,20.605,3.825,20.714,3.133,2.511,2.342,1.008,3.089,46.736,none,1,9.284
dynamic_tau0,4.000,8,42,0.000,1,351.981,29.852,28.596,39.824,202.691,29.852,nan,31.019,31.043,9.316,15.461,9.316,3.827,197.473,28.613,3.827,26.851,2.967,2.505,2.241,3.136,2.288,42.171,none,1,9.230
dynamic_tau0,4.000,9,42,0.000,0,0.690,52.240,54.608,nan,200.701,52.240,nan,52.220,52.213,9.552,22.472,9.552,2.474,199.852,56.300,2.474,58.220,2.933,2.507,inf,inf,inf,86.811,attempt_limit,3,3.677
dynamic_tau0,4.000,10,42,0.000,1,320.163,22.677,20.384,23.067,194.448,22.677,nan,23.925,23.965,8.961,14.997,8.961,3.368,189.988,18.598,3.368,16.681,2.967,2.523,1.858,2.330,1.903,52.396,none,1,9.142
dynamic_tau0,6.000,1,42,0.000,1,265.352,51.741,52.687,28.320,265.838,51.741,nan,52.240,52.225,12.654,22.786,12.654,12.578,233.943,45.541,12.578,41.888,3.133,2.513,3.441,19.187,3.380,79.275,none,2,9.249
dynamic_tau0,6.000,2,42,0.000,1,333.050,28.105,22.331,20.360,269.708,28.105,nan,29.244,29.257,12.450,17.903,12.450,4.354,234.158,20.341,4.354,18.273,3.100,2.517,3.157,2.532,3.230,37.898,none,1,9.393
dynamic_tau0,6.000,3,42,0.000,1,322.407,22.581,17.559,9.332,279.071,22.581,nan,23.772,23.790,12.497,17.817,12.497,4.376,237.736,17.216,4.376,17.169,3.100,2.509,3.101,3.683,5.638,40.548,none,1,9.312
dynamic_tau0,6.000,4,42,0.000,0,-0.010,35.889,36.123,nan,195.400,35.889,nan,35.903,35.903,8.666,18.195,8.666,4.532,194.448,47.552,4.532,47.222,3.033,2.533,inf,inf,inf,84.945,attempt_limit,3,3.702
dynamic_tau0,6.000,5,42,0.000,1,146.534,36.860,37.794,11.586,199.764,36.860,nan,37.527,37.531,9.756,19.816,9.756,9.332,195.696,41.633,9.332,38.868,2.967,2.504,3.405,17.935,3.394,95.618,none,2,9.415
dynamic_tau0,6.000,6,42,0.000,1,337.491,20.668,17.393,20.585,193.602,20.668,nan,21.900,21.925,9.789,15.793,9.789,4.366,188.420,17.239,4.366,17.251,3.033,2.519,3.109,3.935,3.335,39.053,none,1,9.170
dynamic_tau0,6.000,7,42,0.000,1,111.944,41.843,44.092,18.384,194.333,41.843,nan,42.358,42.362,10.635,21.149,10.635,11.153,189.899,25.525,11.153,23.249,2.933,2.511,1.863,15.678,17.603,95.308,none,2,9.491
dynamic_tau0,6.000,8,42,0.000,1,331.680,20.989,16.049,18.581,266.740,20.989,nan,22.206,22.238,12.433,17.741,12.433,4.097,228.668,13.590,4.097,14.483,3.067,2.514,2.955,5.130,2.980,42.279,none,1,9.415
dynamic_tau0,6.000,9,42,0.000,1,112.826,41.255,43.619,29.955,183.714,41.255,nan,41.790,41.795,10.579,20.569,10.579,11.114,186.637,27.626,11.114,25.705,2.967,2.522,2.036,15.462,17.140,95.307,none,2,9.507
dynamic_tau0,6.000,10,42,0.000,1,347.156,21.347,19.213,32.283,180.500,21.347,nan,22.584,22.605,10.051,16.107,10.051,4.291,187.839,16.073,4.291,18.259,3.033,2.528,3.053,6.022,3.078,40.347,none,1,9.410
dynamic_tau0,8.000,1,42,0.000,1,354.041,32.752,25.970,40.941,266.199,32.752,nan,33.809,33.823,13.067,18.387,13.067,5.422,233.810,24.161,5.422,22.574,3.233,2.519,4.346,8.092,4.475,31.212,none,1,9.100
dynamic_tau0,8.000,2,42,0.000,0,-0.010,37.084,36.637,nan,276.111,37.084,nan,37.346,37.359,10.936,20.204,10.936,5.409,237.053,26.854,5.409,25.987,3.100,2.508,inf,inf,inf,80.336,attempt_limit,3,3.942
dynamic_tau0,8.000,3,42,0.000,0,-0.010,37.529,38.302,nan,195.749,37.529,nan,37.703,37.712,10.449,19.760,10.449,6.064,195.421,23.881,6.064,24.643,3.067,2.517,inf,inf,inf,81.151,attempt_limit,3,3.564
dynamic_tau0,8.000,4,42,0.000,0,-0.010,36.284,36.962,nan,200.047,36.284,nan,36.423,36.432,10.469,19.618,10.469,3.485,195.695,22.980,3.485,23.040,3.000,2.508,inf,inf,inf,81.918,attempt_limit,3,3.579
dynamic_tau0,8.000,5,42,0.000,0,-0.010,35.960,36.813,nan,195.961,35.960,nan,36.104,36.113,10.321,20.063,10.321,5.579,190.600,35.800,5.579,35.905,3.100,2.512,inf,inf,inf,79.109,attempt_limit,3,3.830
dynamic_tau0,8.000,6,42,0.000,0,-0.010,37.896,38.219,nan,265.743,37.896,nan,38.098,38.107,11.556,21.097,11.556,5.150,225.787,31.465,5.150,31.576,3.067,2.504,inf,inf,inf,79.606,attempt_limit,3,3.653
dynamic_tau0,8.000,7,42,0.000,0,-0.010,38.009,39.229,nan,183.671,38.009,nan,38.179,38.191,10.411,20.153,10.411,5.050,186.665,33.805,5.050,33.259,3.000,2.524,inf,inf,inf,80.348,attempt_limit,3,3.623
dynamic_tau0,8.000,8,42,0.000,1,328.323,38.574,41.563,15.324,165.044,38.574,nan,38.748,38.743,12.374,22.996,12.374,6.355,164.767,41.598,6.355,39.512,3.133,2.533,3.207,5.619,5.104,46.397,none,2,9.374
dynamic_tau0,8.000,9,42,0.000,0,-0.010,39.116,41.399,nan,153.555,39.116,nan,38.959,38.941,10.558,20.020,10.558,4.795,148.637,48.282,4.795,49.622,3.100,2.501,inf,inf,inf,79.958,attempt_limit,3,3.636
